Timestamp,Compression Size,Compression Time,Upload Time, Recording Time
20250427_081437,0.65,1.14,3.68,5
20250427_081509,1.03,1.16,5.86,10
20250427_081553,2.78,1.15,4.75,30
20250427_081727,5.41,1.39,5.21,60
